,troll,mentions,tweet
0,toneporter,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
1,ilikebigbuttand,"[""dreamweasel""]",RT @Dreamweasel: #HillarysHealth #HillarysBodyDouble https://t.co/G7UUdzeaLI
2,queenofthewo,"[""geffgefferson1"",""realdonaldtrump"",""midnight"",""remhq""]","RT @GeffGefferson1: #ImVotingBecause If @realDonaldTrump Wins...
@midnight 
@remhq 
https://t.co/optiOnvqSs"
3,loragreeen,"[""therealezway""]","RT @therealezway: Chris Wallace has vowed not to fact-check this debate, which means that Trump has a ridiculous advantage"
4,amandavgreen,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie
Hitler wannabe wants to throw away the Constitution turn us into a banana republic
Toss out free… "
5,curtisbigman,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #ObamasWishList: For Michelle Obama to finally turn into a real boy.
6,daileyjadon,"[""annogalactic""]",RT @AnnoGalactic: Can we have #Debatenight once a fortnight even after the election?
7,jasper_fly,"[""midnight"",""geffgefferson1""]","RT @GeffGefferson1: #OverheardAtRNC Does This White Hood Make Me Look Fat???   
@midnight  
#RNCinCLE"
8,worldofhashtags,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow with all the sniffing Trump was doing. Why didnt he offer any of that cocaine to Lester, so Lester…"
9,heyheyhailey,"[""dreamweasel""]","RT @Dreamweasel: Mr. Trump, if Hillary Clinton started Birtherism, why do 100% of Birthers support you?  

 #RejectedDebateTopics"
10,notritahart,"[""therealezway"",""americaferrera""]",RT @therealezway: .@AmericaFerrera I have a plan to combat social stratification in school lunches. What do you think? #DemConvention https…
11,melvinsroberts,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
12,catelinewatkins,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
13,loragreeen,"[""dreamweasel""]",RT @Dreamweasel: #HillarysHealth #HillarysBodyDouble https://t.co/G7UUdzeaLI
14,amandavgreen,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
15,adrienne_gg,"[""chiefplan1"",""realdonaldtrump""]","RT @chiefplan1: #ElectionFinalThoughts
Damn --Delusional Donnie-'
you are darker than Darth,
Dangerously Unfit!
@realDonaldTrump https://t.…"
16,dominicvalent,"[""geffgefferson1"",""realdonaldtrump""]","RT @GeffGefferson1: #FamousCreatures @realDonaldTrump 
#debate"
17,heyheyhailey,"[""dreamweasel""]","RT @Dreamweasel: The subset of the population absolutely convinced that Hillary Clinton is History's Greatest Monster

 #ThingsThatDisturbMe"
18,bgarner2107,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow with all the sniffing Trump was doing. Why didnt he offer any of that cocaine to Lester, so Lester…"
19,gab1aldana,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie-racist facist xenophobe misogynist predator! UNFIT
Deplorable &amp; irredeemable!
Support him-
don't… "
20,hipppo_,"[""dreamweasel""]",RT @Dreamweasel: #ItMayComeAsAShockToYouBut reminding Democrats that Robert Byrd was in the KKK 60 years ago does not excuse Donald Trump's…
21,hellieedwards,"[""annogalactic"",""realdonaldtrump""]","RT @AnnoGalactic: Of course @realdonaldtrump says he doesn't believe in climate change, he's heavily invested in fossil fuels."
22,claudia42kern,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
23,kencannone,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
24,bruciedublin,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
25,hipppo_,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #FakeMusicalTheaterFacts

@realDonaldTrump is still pissed the New York Times refused to hire him as a theater critic in 19…"
26,loragreeen,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
27,brightandglory,"[""chiefplan1""]","RT @chiefplan1: Trump promises segregation--
https://t.co/SHXPDCyYVq"
28,queenofthewo,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
29,gab1aldana,"[""chiefplan1""]","RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…"
30,holycrapchrix,"[""stormynights10""]",RT @stormynights10: #DontTellAnyoneBut I thought I saw Trump lurking in my neighbors bushes yesterday
31,kathiemrr,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
32,traceyhappymom,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
33,gab1aldana,"[""realdonaldtrump"",""chiefplan1""]",RT @chiefplan1: #IDontThinkIWasMeantTo vote for a cheeto faced ferret wearing shitgibbon demogogue like unfit @realDonaldTrump https://t.co…
34,amandavgreen,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Hillary Clinton, is actually one of those Lizard people. Who lives underground..."
35,worldofhashtags,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
36,holycrapchrix,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
37,dominicvalent,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
