,troll,mentions,tweet
0,lagonehoe,"[""amjoyshow"",""joyannreid""]",RT @JoyAnnReid: Tried to tell the @amjoyshow staff this today. #Armageddon https://t.co/qVbeS9waRF
1,watchmewalkin,"[""charlesmblow""]","RT @CharlesMBlow: Listen idiot, I'm an opinion writer. Opinions r by nature/design not objective but subjective. Pls get a dictionary… http…"
2,samirgooden,"[""shaunking""]","RT @ShaunKing: Connor McGregor is the Donald Trump of MMA. Or the Mike Tyson of MMA.

Both metaphors work plus Tyson &amp; Trump love each othe…"
3,camosaseko,"[""blicqer"",""foxnews""]",RT @blicqer: ▶ DEAL DILEMMA: Trump reportedly looking for way out of climate pact https://t.co/MiGRvSdglN @FoxNews https://t.co/JCg6QDfxow
4,javonhidp,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ On Trump’s Education Policy https://t.co/AgECMmglkY @NatCounterPunch https://t.co/2IJLKyZ3ry
5,iiddaamarks,"[""fusion""]",RT @Fusion: Shocker: Trump's new white nationalist aide Steve Bannon has some racist thoughts about Asians… 
6,bigboysneed,"[""rawstory""]",RT @RawStory: Another tax bombshell: Daddy #Trump had to set up $38 million slush fund to bail Donald out prior to 1980… 
7,melanymelanin,"[""blicqer"",""bbc5live""]",RT @blicqer: ▶ Michelle Obama campaigns with her 'girl' Hillary Clinton https://t.co/ESnqLwEAPl @BBC5Live https://t.co/BH2Ldt7SHv
8,bigboysneed,"[""ggreenwald""]","RT @ggreenwald: Chris Matthews, somehow, actually identified the real problem perfectly: https://t.co/Yvnmeb2bBJ"
9,jeanuttella,"[""rawstory""]",RT @RawStory: A neuroscientist explains why Trump is winning https://t.co/xUCuVW0gN6 https://t.co/6vCM1ccAV2
10,bigboyjasiah,"[""docrocktex26"",""thedailybeast"",""agewithrage""]","RT @AgeWithRage: @thedailybeast @docrocktex26 And he's their ""Good One"" #DonaldTrumpIsAPig https://t.co/MW00kb4Mlr"
11,jani_s_jac,"[""blackvoices"",""amjoyshow""]",RT @amjoyshow: Former Miss Teen USA: I was told ‘#Trump doesn’t like black people’ https://t.co/uvGcH8OyqK via @blackvoices
12,liljordamn,"[""docrocktex26""]",RT @docrocktex26: As I was saying about the Southern Strategy... https://t.co/JtNeMhmlop
